base_lookback,market_vol_window,base_vol_window,max_vol_threshold,market_vol_threshold,rvi_high_exit_threshold,rvi_low_threshold,rvi_medium_threshold,rvi_low_multiplier,rvi_high_multiplier,use_rvi_adaptation,use_trend_filter,trend_window,trend_filter_on_insufficient_data,bare_mode,risk_free_ticker,debug,used_market_vol_window,final_value,cagr,sharpe,max_drawdown
29,21,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2681226.217822273,0.39789072251317315,3.1564972571915795,-0.059560486135840085
28,21,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2650099.6891739178,0.3923579938095816,3.0938532994783685,-0.09580783187151354
30,21,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2660177.723587213,0.39415403646426017,3.065051702623248,-0.05424234693825314
30,21,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2631419.395181673,0.3890169464755464,3.0514348265160987,-0.06386770145213594
31,21,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2591541.765964245,0.38183190182695315,2.961561867336947,-0.06325924005643879
28,21,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2528059.5371093773,0.3702416628162035,2.9567704034679787,-0.07056026013446937
29,21,10,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2529873.4841741314,0.3705754950369675,2.952090611245307,-0.056932623347191846
31,21,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2545714.559466269,0.37348413334615405,2.9374458041805145,-0.05889622380235071
28,21,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2456366.542196376,0.35691886618595325,2.8867770049535384,-0.07056026013446959
30,21,10,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2466570.6515828217,0.35883064527149755,2.878948451158519,-0.059884250156526764
29,21,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2442495.5695897792,0.35431165742990456,2.8193025267038285,-0.07606951522686034
32,21,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2399188.179855557,0.3461080712646287,2.7553454716274333,-0.0903406935283203
31,21,10,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2353842.9770189025,0.337412983159465,2.7247033334435726,-0.06294054323144038
32,21,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2355319.950783173,0.33769793240148327,2.6850868577922617,-0.0813291832545191
28,21,10,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2305964.3861585273,0.32811120066348276,2.614297269027636,-0.0958078318715132
32,21,10,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2265149.437723577,0.320080499182529,2.5643442337402798,-0.09021983189894545
29,21,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2234935.2685164222,0.3140738316689038,2.5215518780470054,-0.06903082672379746
32,21,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2351448.6366468566,0.3369507974696937,2.511178832495492,-0.09812090633059689
30,21,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2344782.7163643315,0.3356624184704051,2.508759583964209,-0.07661000165348708
31,21,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2334496.4962289073,0.33366955889547634,2.491522876014754,-0.09456302458516674
