datetime_utc,alias,secid,market,board,bid,ask,spread_abs,spread_bps,mid_price,volume_bid,volume_ask
2025-12-24T21:02:15.706533+00:00,OBLG,OBLG,shares,TQTF,188.48,188.54,0.060000000000002274,3.183,188.51,332290,360867
2025-12-24T21:02:15.706533+00:00,EQMX,EQMX,shares,TQTF,139.2,139.3,0.10000000000002274,7.181,139.25,439334,415331
2025-12-24T21:02:15.706533+00:00,GOLD,GOLD,shares,TQTF,2.75,2.752,0.0019999999999997797,7.27,2.751,27964976,45504008
2025-12-24T21:02:15.706533+00:00,LQDT,LQDT,shares,TQTF,1.8792,1.8793,9.999999999998899e-05,0.532,1.87925,2969174279,2749513929
2025-12-25T09:36:20.843516+00:00,OBLG,OBLG,shares,TQTF,188.9,188.94,0.03999999999999204,2.117,188.92,354156,337358
2025-12-25T09:36:20.843516+00:00,EQMX,EQMX,shares,TQTF,139.0,139.05,0.05000000000001137,3.596,139.025,509015,450767
2025-12-25T09:36:20.843516+00:00,GOLD,GOLD,shares,TQTF,2.736,2.738,0.0019999999999997797,7.307,2.737,30096181,23983091
2025-12-25T09:36:20.843516+00:00,LQDT,LQDT,shares,TQTF,1.88,1.8801,0.00010000000000021103,0.532,1.88005,4002304423,3779991933
2025-12-25T11:00:21.051933+00:00,OBLG,OBLG,shares,TQTF,188.84,188.98,0.13999999999998636,7.411,188.91,348771,331913
2025-12-25T11:00:21.051933+00:00,EQMX,EQMX,shares,TQTF,138.8,138.9,0.09999999999999432,7.202,138.85,493611,490015
2025-12-25T11:00:21.051933+00:00,GOLD,GOLD,shares,TQTF,2.737,2.7375,0.0004999999999997229,1.827,2.73725,31031144,24763084
2025-12-25T11:00:21.051933+00:00,LQDT,LQDT,shares,TQTF,1.88,1.8801,0.00010000000000021103,0.532,1.88005,4252162956,3650237240
2025-12-26T08:07:28.681732+00:00,OBLG,OBLG,shares,TQTF,189.04,189.12,0.0800000000000125,4.231,189.08,301847,287348
2025-12-26T08:07:28.681732+00:00,EQMX,EQMX,shares,TQTF,139.9,139.95,0.04999999999998295,3.573,139.925,458640,530054
2025-12-26T08:07:28.681732+00:00,GOLD,GOLD,shares,TQTF,2.7505,2.751,0.0004999999999997229,1.818,2.75075,27938898,23682744
2025-12-26T08:07:28.681732+00:00,LQDT,LQDT,shares,TQTF,1.8824,1.8825,9.999999999998899e-05,0.531,1.88245,4075667303,3723536411
2025-12-26T09:42:45.454899+00:00,OBLG,OBLG,shares,TQTF,189.22,189.24,0.020000000000010232,1.057,189.23,317001,295667
2025-12-26T09:42:45.454899+00:00,EQMX,EQMX,shares,TQTF,139.95,140.0,0.05000000000001137,3.572,139.975,483192,501729
2025-12-26T09:42:45.454899+00:00,GOLD,GOLD,shares,TQTF,2.749,2.7495,0.0004999999999997229,1.819,2.74925,28197149,25557533
2025-12-26T09:42:45.454899+00:00,LQDT,LQDT,shares,TQTF,1.8824,1.8825,9.999999999998899e-05,0.531,1.88245,3784890954,3129002838
2025-12-26T10:17:45.498998+00:00,OBLG,OBLG,shares,TQTF,189.2,189.22,0.020000000000010232,1.057,189.21,316319,293704
2025-12-26T10:17:45.498998+00:00,EQMX,EQMX,shares,TQTF,140.15,140.2,0.04999999999998295,3.567,140.175,485462,526156
2025-12-26T10:17:45.498998+00:00,GOLD,GOLD,shares,TQTF,2.7425,2.745,0.0024999999999999467,9.112,2.74375,28402353,25050017
2025-12-26T10:17:45.498998+00:00,LQDT,LQDT,shares,TQTF,1.8824,1.8825,9.999999999998899e-05,0.531,1.88245,3733913670,3648684203
2026-01-18T10:30:59.414735+00:00,LQDT,LQDT,shares,TQTF,1.9002,1.9003,0.00010000000000021103,0.526,1.90025,3273954504,3137093319
